KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection
b3kat,"B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg",http://lod.b3kat.de/sparql,[],False,1,1.0,1,0.7777777777777778,0,1,1,1,1.0,1,1,1,"['api/sparql', 'HTML', 'meta/void', 'text/turtle', 'text/turtle', 'text/turtle', 'text/turtle', 'text/turtle', 'text/turtle']",1,1,1,0,1
bbc-music,BBC Music,http://api.talis.com/stores/bbc-backstage/services/sparql,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,Check manually,1,1,1,"['api/sparql', 'meta/rdf-schema']",0,0,0,0,1
bbc-wildlife-finder,BBC Wildlife Finder,http://api.talis.com/stores/bbc-wildlife/services/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['api/sparql', 'meta/rdf-schema']",0,0,0,0,1
biblioteca-nacional-escolar-bnescolar,Biblioteca Nacional Escolar (BNEscolar),,[],False,1,0.0,1,0.4444444444444444,0,1,1,1,Check manually,1,1,1,[],0,0,0,0,1
bll-thesaurus,Bibliography of Linguistic Literature (BLL) Thesaurus,,[],True,1,0.0,1,0.5555555555555556,0,1,1,1,Check manually,1,1,1,"['RDF', 'RDF', 'HTML']",0,1,0,0,1
bluk-bnb,British National Bibliography (BNB) - Linked Open Data,http://bnb.data.bl.uk/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['api/sparql', 'api/search', 'XML', 'HTML', 'html | pdf', 'html | pdf', 'HTML', 'html/pdf']",0,0,0,0,1
bncf-ns,Thesaurus BNCF,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,"['https://github.com/m-pepe/BNCF-NS/blob/main/ns201803.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns201810.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns201904.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns201910.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202004.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202010.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202104.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202110.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202203.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202210.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202303.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202310.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202403.zip', 'https://github.com/m-pepe/BNCF-NS/blob/main/ns202410.zip']",False,1,1.0,1,0.6666666666666666,0,1,1,1,1.0,1,1,1,"['application/rdf+xml; charset=UTF-8', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip', 'application/zip']",1,0,1,0,1
british-museum-collection,British Museum Collection,http://collection.britishmuseum.org/Sparql,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,Check manually,1,1,1,['api/sparql'],0,0,0,0,0
BVMC,Biblioteca Virtual Miguel de Cervantes,http://data.cervantesvirtual.com/sparql,[],False,1,0.9828,1,0.6666666666666666,0,1,1,1,1.0,1,1,1,['text/html;charset=UTF-8'],1,0,1,0,1
calames,Calames,,[],False,1,0.0,1,0.5555555555555556,0,1,1,1,Check manually,1,1,1,['meta/sitemap'],0,0,0,0,1
